dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
1,cloud,733.20,735.00,2.00,733.00,1,"3","3",1769947838621,1769947838623,1769947839356,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: CEO Eisner to Step Down in Sept 2006 -WSJ
                                        News Description:  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.
                                        ",87,738,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
1,cloud,480.10,488.00,7.00,481.00,1,"3","3",1769947839631,1769947839638,1769947840119,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: CEO Eisner to Step Down in Sept 2006 -WSJ
                                        News Description:  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.
                                        ",87,738,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
2,cloud,500.90,511.00,10.00,501.00,1,"3","3",1769947840641,1769947840651,1769947841152,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Technology ; STT, Telekom Malaysia buy 48 pct of Idea
                                        News Description: Singapore government-owned STT and TM International, the international investment arm of Telekom Malaysia, said in a statement on Saturday they had signed  quot;definitive agreements quot; to buy the entire stake of Cingular Wireless in Idea.
                                        ",93,813,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
3,cloud,665.00,677.00,12.00,665.00,1,"3","3",1769947841652,1769947841664,1769947842329,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Guilty Plea Seen in Computer Associates Case
                                        News Description: Steven Woghin, the former general counsel of Computer Associates, will plead guilty to criminal charges.
                                        ",70,666,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
4,cloud,482.00,492.00,10.00,482.00,1,"3","3",1769947842655,1769947842665,1769947843147,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Coke opens its coolers to rival products
                                        News Description: Coca Cola is to allow other companies #39; products in its shop coolers for the first time. It has agreed the move in a deal with the European Commission to settle a five year competition case.
                                        ",91,751,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
5,cloud,517.10,529.00,12.00,517.00,1,"2","2",1769947843662,1769947843674,1769947844191,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title:  #39;Noles Rebound
                                        News Description: Leon Washington ran for 104 yards and a touchdown and Florida State sacked Alabama-Birmingham #39;s Darrell Hackney eight times Saturday night to rebound from a disappointing loss to Miami with a 34-7 victory.
                                        ",83,745,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
6,cloud,587.60,599.00,11.00,588.00,1,"3","3",1769947844669,1769947844680,1769947845268,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Earnings Improve at Japanese Electronics Firms
                                        News Description: The Japanese electronics makers remained cautious about the months ahead, citing worries about global growth. Japanese corporate profits are almost certain to be hurt by any economic slowdown in Japan and in the United States.
                                        ",89,790,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
7,cloud,543.40,554.00,10.00,544.00,1,"3","3",1769947845673,1769947845683,1769947846227,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: US Airways May Liquidate by February
                                        News Description: ALEXANDRIA, Va. Sept. 27, 2004 - US Airways Group Inc. warned in a bankruptcy court filing that it may have to liquidate by February if a judge does not impose a temporary 23 percent pay cut on its union workers.
                                        ",94,766,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
8,cloud,529.20,540.00,10.00,530.00,1,"3","3",1769947846679,1769947846689,1769947847219,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: A mixed economic bag in July
                                        News Description: Factory orders in July for costly manufactured goods recorded the biggest gain in four months. New home sales, meanwhile, slid, according to a pair of reports 
                                        ",80,705,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
9,cloud,611.90,623.00,11.00,612.00,0,"4","3",1769947847688,1769947847699,1769947848311,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: EU Accuses Microsoft of Paternal View
                                        News Description: Microsoft Corp. said Friday that small companies and their customers would suffer most if it is forced to remove its digital media software from Windows, while the European Union accused it of being ""paternalistic"" in trying to decide what's best for everyone.
                                        ",96,815,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
10,cloud,494.20,506.00,11.00,495.00,1,"1","1",1769947848705,1769947848716,1769947849211,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Bosnian Serb PM resigns after war crimes criticism (AFP)
                                        News Description: AFP - Bosnian Serb Prime Minister Dragan Mikerevic resigned, a day after the international community imposed fresh sanctions against Serb police and officials for allegedly protecting war crimes fugitives.
                                        ",86,779,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
11,cloud,629.90,641.00,11.00,630.00,1,"4","4",1769947849710,1769947849721,1769947850351,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Mission accomplished: US astronauts are home at last
                                        News Description: American astronaut Mike Fincke and Russian commander Gennady Padalka descended to Earth in remote Kazakstan late Saturday aboard a Soyuz space capsule.
                                        ",78,721,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
12,cloud,494.20,504.00,10.00,494.00,1,"1","1",1769947850720,1769947850730,1769947851224,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: 80 Killed in U.S. Offensive in Iraq
                                        News Description: SAMARRA, Iraq - U.S. and Iraqi forces launched a major assault Friday to regain control of the insurgent stronghold of Samarra, and hospital officials said at least 80 people were killed and 100 wounded...
                                        ",89,758,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
13,cloud,596.10,607.00,11.00,596.00,1,"3","3",1769947851728,1769947851739,1769947852335,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Circuit City Cautious on Outlook
                                        News Description: Circuit City Stores Inc. (CC.N: Quote, Profile, Research) on Friday posted a narrower quarterly loss from continuing operations but said its outlook was cautious for the 
                                        ",79,720,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
14,cloud,524.60,537.00,12.00,525.00,0,"4","3",1769947852735,1769947852747,1769947853272,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Project Megagrid shows off business side of grid
                                        News Description: Hoping to prove that grid computing can work in the business world, Dell, EMC, Intel and Oracle have announced a joint effort designed to show business users how to use the distributed computing technology.
                                        ",90,772,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
15,cloud,482.20,493.00,11.00,482.00,1,"4","4",1769947853741,1769947853752,1769947854234,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Lonely men targeted by cell-phone based relationship
                                        News Description: HONG KONG - There #39;s a new service for men seeking true love. A software company has created an artificial girlfriend that lonely men can download to a mobile phone.
                                        ",85,738,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
16,cloud,605.50,615.00,10.00,605.00,1,"4","4",1769947854756,1769947854766,1769947855371,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Motorola Aims to Sharpen Design Edge
                                        News Description: In a 26th-floor office suite overlooking Lake Michigan, some 40 industrial designers, mechanical engineers and specialists in fields ranging from anthropology to musicology 
                                        ",77,727,1769947838620,1769948344353,ag_news_test,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4.1-mini
