dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
1,device,609.30,612.00,2.00,610.00,1,"negative","negative",1770047064596,1770047064598,1770047065208,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: For Daniel Auteuil, `Queen Margot' was much better. For Nastassja Kinski, `Paris, Texas' was much better. The biggest disappointments were from Chris Menges (`CrissCross' and `A World Apart' cannot even be compared with this one), and Goran Bregovic for use of a version of the same musical theme from `Queen Margot' for this movie (Attention to the end of the film). If this was an American pop movie, I would not feel surprised at all; but for a European film with more independent actors and director, a similar common approach about child abuse with no original insight is very simple-minded and disappointing. There are those bad guys who kidnap and sell the underage people. There are those poor children who hate people selling them and wait to be saved by someone. And finally, there is that big hero who kills all the bad guys and saves these poor children from bad guys. Every character is shown in simple black and white terms: the good versus the evil. Plus, from the very beginning, I could understand how the story would end. Is this the end of the history of child sexual abuse? I believe that the difficult issue of child molestation and paedophilia is much more complex than how it is portrayed in this not very original movie. I think this movie was not disturbing, but very disappointing.
                                        Sentiment:",259,1650,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
1,device,574.40,583.00,9.00,574.00,1,"negative","negative",1770047065598,1770047065607,1770047066181,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: For Daniel Auteuil, `Queen Margot' was much better. For Nastassja Kinski, `Paris, Texas' was much better. The biggest disappointments were from Chris Menges (`CrissCross' and `A World Apart' cannot even be compared with this one), and Goran Bregovic for use of a version of the same musical theme from `Queen Margot' for this movie (Attention to the end of the film). If this was an American pop movie, I would not feel surprised at all; but for a European film with more independent actors and director, a similar common approach about child abuse with no original insight is very simple-minded and disappointing. There are those bad guys who kidnap and sell the underage people. There are those poor children who hate people selling them and wait to be saved by someone. And finally, there is that big hero who kills all the bad guys and saves these poor children from bad guys. Every character is shown in simple black and white terms: the good versus the evil. Plus, from the very beginning, I could understand how the story would end. Is this the end of the history of child sexual abuse? I believe that the difficult issue of child molestation and paedophilia is much more complex than how it is portrayed in this not very original movie. I think this movie was not disturbing, but very disappointing.
                                        Sentiment:",259,1650,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
2,device,580.00,592.00,12.00,580.00,1,"negative","negative",1770047066605,1770047066617,1770047067197,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: Spoilers abound. You have been warned.<br /><br />I was thoroughly disappointed, this being my first STREET FIGHTER movie I have seen (I dare not go near the 1994 joke yet). Very little grabs your attention in STREET FIGHTER ZERO (ALPHA) as opposed to most japanimation. The fights are hilariously done over board (Shun versus Zangief was a laugher) and the dramatization is far too moody especially toward the end when Ryu has to control everything in his fight against his brother.<br /><br />The main street fighter, Ryu, has been weakening to a far darker version inside of himself. Frustrations in controlling this darkness are further complicated by the sudden arrival of a younger brother! A shady street fighting tournament is held with more than just fighting on the promoter 's mind.<br /><br />What is with the artist 's drawing of feet? Any anime drawn above the stomach is impressive. The story 's soft nature makes the STREET FIGHTER genre far too intelligent, and places far more emphasis on a character (Shun), that is not even a fighter in the video game! A character study on more than just the core stars of the original STREET FIGHTER is completely ignored. How many times did you catch Rolento? Adon? Guy? STREET FIGHTER ZERO lacks the imagination of the video game.
                                        Sentiment:",250,1630,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
3,device,855.30,867.00,11.00,856.00,1,"negative","negative",1770047067611,1770047067622,1770047068478,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: Where do I start? The plot of the movie, which is about a love between two high school students during wartime, while one is a living weapon, and their struggle to maintain that love is a very good plot. It is based on a manga by Shin Takahashi which was also turned into an anime in 2002, both of which I have yet to read or see.<br /><br />This review is about this live action adaptation however. Sadly, this honest to goodness was a terrible movie. It isn't as if one could site certain aspects, and say, for instance, the budget is at fault, or the acting is to blame. It is, sadly, a series of underwhelming and ineffectual elements that bring this film down.<br /><br />The acting is poor. Not to say Aki Maeda and Shunsuke Kubozuka are bad actors, but they didn't have much to work with, and seemed miscast. Neither seemed to have the physical range to draw the viewer in the story as well as being too old for their parts to a distracting degree.<br /><br />The script was weak, the leads act unrealistically, and behave irrationally. The film also plays for the heartstrings, but ends up being predictable, all the while not being compelling, and under-developing the characters. There are also pacing issues.<br /><br />Visually, it is unremarkable. The film uses green screen heavily and unnecessarily in too many scenes. The other special effects also have a cheap look to them, especially where minimalistic practical special effects could have been used. There is also no visual flair, as if there were no cinematographer or art designer to make the scenes look consistent and stimulating.<br /><br />The music and sound effects were fine, but unremarkable.<br /><br />Overall, the movie isn't devoid of enjoyment, and fans of the series shouldn't be discouraged to see it at least once just for the sake of completion. People unfamiliar with Saikano, this probably isn't the place to jump in as it isn't a very good movie or melodrama. It isn't the movie or the cast and crews fault, it just isn't inspired, and that is what kills it.
                                        Sentiment:",390,2393,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
4,device,390.60,402.00,12.00,390.00,1,"negative","negative",1770047068611,1770047068623,1770047069013,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: There was a genie played by Shaq His name was Kazaam, and he was whack His rhymes were corny, this lines were bad some stupid kid cryin over his stupid dad bad actin, bad casting, bad special effects whats next? this movie sucks Prolly didn't make 20 bucks he lives in a boombox not a lamp hurts like a cramp like a wet food stamp...<br /><br />Yeah, you get it, a stupid rhyming genie who can't act, in a stupid movie with horrible special effects. Oh, and its confusing as hell. I'm not even gonna go on. Let's just say, it belongs in the ""its so bad, its funny"" category. Watch it once with your buddies and get a good laugh. But don't expect anything spectacular.
                                        Sentiment:",158,1010,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
5,device,839.10,851.00,12.00,839.00,1,"positive","positive",1770047069620,1770047069632,1770047070471,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: Its a very good comedy movie.Ijust liked it.I don't know why i love this movie i just love it.Storyline:It is a story of two boys Amar (Aamir Khan) and Prem (Salman Khan) who want to get rich quickly by taking all the short-cuts in the book. Amar is the son of an honest barber, Murli Manohar (Deven Verma) in Mumbai, while Prem is the son of Bankeylal Bhopali (Jagdeep), a hardworking tailor in Bhopal. Both Amar and Prem sell their father's shop and house respectively, and zero in on a hill station where a beautiful wealthy heiress Raveena (Raveena Tandon) has come from London accompanied by her friend cum secretary Karishma (Karishma Kapoor) with the intention of getting married to a virtuous Indian. The lucky man to wed Raveena will inherit her father Ram Gopal Bajaj's (Paresh Rawal) entire wealth. Amar and Prem see their get rich quick chance and woo Raveena, each trying to out do the other. Enter Teja (Paresh Rawal in a double role) whose sole ambition in life has been to grab his twin brother Ram Gopal Bajaj's millions. So Teja plants Bhalla. (Shehzad) and Robert (Vijoo Khote) in Raveena's house, to help him in fulfill his ambition. As the story progresses it turns out to be a mad chase from Ram Gopal Bajaj's wealth, full of humor, romance thrills and chills. Will Raveena & Karishma see through Amar and Prem's mischievous intentions? Will Teja succeed in his motives? See it all in super comedy ANDAZ APNA APNA. <br /><br />Aamir,Salman,Raveena,Karishma and Paresh at there best.<br /><br />Good Music.<br /><br />Good Direction.<br /><br />Good Story and Screenplay.<br /><br />and very good Comedy !!!!!!
                                        Sentiment:",309,1974,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
6,device,471.40,482.00,11.00,471.00,1,"negative","negative",1770047070628,1770047070639,1770047071110,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: Please don't waste your money on this sorry excuse for a motion picture. The only way I could see someone watching this is if they are a die-hard fan of Erika Elaniak, but you would be better off surfing the internet than to watch this piece of crap. I would rather watch paint dry than go through watching this. <br /><br />They lure you in with Casper and Erika and lead you to believe it is a sci-fi Dracula movie, but it quickly works out to be a farce about Van Helsing's great-great (you get the point) grandson, here ironically for one last show-down between himself and Dracula.<br /><br />The movie also tries to make a political statement, I believe, when it appears that none of the characters in the future know who God is, that they have not been taught about him and don't understand when they see a cross. Could have done a lot more with this idea. It's a shame it turned out the way it did.
                                        Sentiment:",202,1249,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
7,device,361.30,373.00,12.00,361.00,1,"negative","negative",1770047071632,1770047071644,1770047072005,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: I starred as Eugene Morris Jerome in my high school adaptation of the play and this film definitely doesn't live up to the script or the imagination of Neil Simon. I know this play backwards and forwards and I can honestly tell you that the acting was off, The production was cheesy. The changes in the play's script were poorly done. If you want to really enjoy this play you should see the actual play, not a Hollywood movie adaptation. The Eugene character lacked soul and was overly sarcastic in all he said. The other characters were off key as well. A general disappointment, messy, disloyal to the play, amateurishly executed!
                                        Sentiment:",143,976,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
8,device,676.00,687.00,11.00,676.00,1,"negative","negative",1770047072639,1770047072650,1770047073326,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: With Pep Squad receiving an average of 4.7 on IMDb.com, no wonder Steve Balderson slanders this website so. But the fact is that Pep Squad is a poorly crafted ""black"" ""comedy"" (both words in quotation marks for a reason). It's a movie full of over-acting (Cherry, Beth's Mother), coupled with a couple of lethargic performances (Beth and Julie's boyfriend). A movie where you can follow cars from twenty feet away in a gaudy red Jeep and never be noticed. A movie chock full of not-so-appetizing cleavage and nudity shots that make you wonder, ""Does the director think this is funny? Or clever?"" Most of all, the characters are so paper-thin and poorly developed that the film becomes quite unpredictable, but probably not on purpose. Pep Squad can't decide whether to be a comedy, or a drama, or a satire (patriotic music, I get it...). The movie fails at being serious, because the idea of killing for any school position (this being Prom Queen) crosses the line into insanity (not to mention shots of flag burning and drive-by shootings, a poor attempt at being controversial and edgy), and fails at being a comedy, for all the forced and awkwardly placed jokes (big butt mama, ""funky"" black principal, and excessive cussing delivered poorly by the principal cast). Watching the documentary ""Wamego: Making Movies Anywhere"" only made this film more cringe-worthy, with praise lauded towards it by... the director and the director's father... hmmmmmm. Not a black comedy, or anything for that matter. I guess Kansas will have to wait.
                                        Sentiment:",289,1879,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
9,device,523.00,532.00,9.00,523.00,1,"negative","negative",1770047073640,1770047073649,1770047074172,"Task: Determine whether the sentiment of the following review is positive or negative.
                                        Instructions: Answer with ONLY the word ""positive"" or ""negative"". Do not provide any explanation or additional text.
                                        Review: Well, I watched this film expecting to be rolling in the aisles ... how wrong I was. The film was moderately amusing, at best, and irritating at worst (the slapstick comedy styling of building an ark with archaic tools, laugh ... no I didn't). I'm very disappointed given Steve Carrel was the lead. I've watch the Office US religiously, cracks me up immensely, I thought 40 year old virgin was good ... but Evan 'elp us- why on earth did he accept this script. And, as for Morgan Freeman- he's old enough to know better.<br /><br />So, the idea seemed reasonable, the actors I had every faith in- but the execution was nothing to write home about and the ending, well it seemed as if they had run out of money, or ideas. This for me was one of the most contrived endings I could have imagined. They took a biblical story and dumbed it down to a cautionary tale on localized environmental issues, not even global issues, but a local bill - yawn!<br /><br />In summary, reasonable start, got gradually worse and, for me, it was all washed out by the time the credit's rolled.
                                        Sentiment:",228,1416,1770047064594,1770047568360,imdb_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
