dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,route_strategy,pattern,device_model,cloud_model
1,cloud,607.30,618.00,11.00,607.00,0,"FALSE","",1765213455240,1765213455251,1765213455858,"Question: does ethanol take more energy make that produces
                                        Context: All biomass goes through at least some of these steps: it needs to be grown, collected, dried, fermented, distilled, and burned. All of these steps require resources and an infrastructure. The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or ``energy returned on energy invested''). Figures compiled in a 2007 report by National Geographic Magazine point to modest results for corn ethanol produced in the US: one unit of fossil-fuel energy is required to create 1.3 energy units from the resulting ethanol. The energy balance for sugarcane ethanol produced in Brazil is more favorable, with one unit of fossil-fuel energy required to create 8 from the ethanol. Energy balance estimates are not easily produced, thus numerous such reports have been generated that are contradictory. For instance, a separate survey reports that production of ethanol from sugarcane, which requires a tropical climate to grow productively, returns from 8 to 9 units of energy for each unit expended, as compared to corn, which only returns about 1.34 units of fuel energy for each unit of energy expended. A 2006 University of California Berkeley study, after analyzing six separate studies, concluded that producing ethanol from corn uses much less petroleum than producing gasoline.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",245,1674,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
2,cloud,461.20,472.00,11.00,461.00,0,"TRUE","",1765213456247,1765213456258,1765213456719,"Question: is house tax and property tax are same
                                        Context: Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It is and imposed on the Possessor (not the custodian of property as per 1978, 44th amendment of constitution). It resembles the US-type wealth tax and differs from the excise-type UK rate. The tax power is vested in the states and is delegated to local bodies, specifying the valuation method, rate band, and collection procedures. The tax base is the annual rental value (ARV) or area-based rating. Owner-occupied and other properties not producing rent are assessed on cost and then converted into ARV by applying a percentage of cost, usually four percent. Vacant land is generally exempt. Central government properties are exempt. Instead a 'service charge' is permissible under executive order. Properties of foreign missions also enjoy tax exemption without requiring reciprocity. The tax is usually accompanied by service taxes, e.g., water tax, drainage tax, conservancy (sanitation) tax, lighting tax, all using the same tax base. The rate structure is flat on rural (panchayat) properties, but in the urban (municipal) areas it is mildly progressive with about 80% of assessments falling in the first two brackets.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",219,1507,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
3,device,353.00,364.00,11.00,353.00,0,"TRUE","",1765213457254,1765213457265,1765213457618,"Question: is pain experienced in a missing body part or paralyzed area
                                        Context: Phantom pain sensations are described as perceptions that an individual experiences relating to a limb or an organ that is not physically part of the body. Limb loss is a result of either removal by amputation or congenital limb deficiency. However, phantom limb sensations can also occur following nerve avulsion or spinal cord injury.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",85,654,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
4,device,390.80,402.00,11.00,391.00,0,"TRUE","",1765213458258,1765213458269,1765213458660,"Question: is harry potter and the escape from gringotts a roller coaster ride
                                        Context: Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal Studios Florida, a theme park located within the Universal Orlando Resort. Similar to dark rides, the roller coaster utilizes special effects in a controlled-lighting environment and also employs motion-based 3-D projection of both animation and live-action sequences to enhance the experience. The ride, which is themed to the Gringotts Wizarding Bank, became the flagship attraction for the expanded Wizarding World of Harry Potter when it opened on July 8, 2014.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",117,880,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
5,device,395.60,406.00,10.00,396.00,0,"TRUE","",1765213459304,1765213459314,1765213459710,"Question: is there a difference between hydroxyzine hcl and hydroxyzine pam
                                        Context: Hydroxyzine preparations require a doctor's prescription. The drug is available in two formulations, the pamoate and the dihydrochloride or hydrochloride salts. Vistaril, Equipose, Masmoran, and Paxistil are preparations of the pamoate salt, while Atarax, Alamon, Aterax, Durrax, Tran-Q, Orgatrax, Quiess, and Tranquizine are of the hydrochloride salt.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",77,675,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
6,device,430.30,441.00,11.00,430.00,0,"FALSE","",1765213460309,1765213460320,1765213460750,"Question: is barq's root beer a pepsi product
                                        Context: Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having caffeine. Barq's, created by Edward Barq and bottled since the turn of the 20th century, is owned by the Barq family but bottled by the Coca-Cola Company. It was known as Barq's Famous Olde Tyme Root Beer until 2012.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",82,598,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
7,device,460.80,473.00,12.00,461.00,0,"TRUE","",1765213461314,1765213461326,1765213461787,"Question: can an odd number be divided by an even number
                                        Context: In mathematics, parity is the property of an integer's inclusion in one of two categories: even or odd. An integer is even if it is evenly divisible by two and odd if it is not even. For example, 6 is even because there is no remainder when dividing it by 2. By contrast, 3, 5, 7, 21 leave a remainder of 1 when divided by 2. Examples of even numbers include −4, 0, 82 and 178. In particular, zero is an even number. Some examples of odd numbers are −5, 3, 29, and 73.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",124,772,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
8,device,368.20,379.00,11.00,368.00,0,"TRUE","",1765213462319,1765213462330,1765213462698,"Question: is there a word with q without u
                                        Context: Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwords; the only modern-English words that contain Q not followed by U and are not borrowed from another language are qiana, qwerty, and tranq. However, all of the loanwords on this list are considered to be naturalised in English according to at least one major dictionary (see References), often because they refer to concepts or societal roles that do not have an accurate equivalent in English. For words to appear here, they must appear in their own entry in a dictionary; words which occur only as part of a longer phrase are not included.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",138,921,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
9,device,231.50,243.00,12.00,231.00,0,"TRUE","",1765213463319,1765213463331,1765213463562,"Question: can u drive in canada with us license
                                        Context: Persons driving into Canada must have their vehicle's registration document and proof of insurance.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",42,394,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
10,device,357.70,369.00,11.00,358.00,0,"TRUE","",1765213464329,1765213464340,1765213464698,"Question: is there a play off for third place in the world cup
                                        Context: The knockout stage of the 2018 FIFA World Cup was the second and final stage of the competition, following the group stage. It began on 30 June with the round of 16 and ended on 15 July with the final match, held at the Luzhniki Stadium in Moscow. The top two teams from each group (16 in total) advanced to the knockout stage to compete in a single-elimination style tournament. A third place play-off was also played between the two losing teams of the semi-finals.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",117,777,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
11,device,575.90,587.00,11.00,576.00,0,"TRUE","",1765213465332,1765213465343,1765213465919,"Question: can minors drink with parents in new york
                                        Context: In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% the federal highway funding of any state which did not have a minimum purchasing age of 21, the New York Legislature raised the drinking age from 19 to 21, effective December 1, 1985. (The drinking age had been 18 for many years before the first raise on December 4th, 1982, to 19.) Persons under 21 are prohibited from purchasing alcohol or possessing alcohol with the intent to consume, unless the alcohol was given to that person by their parent or legal guardian. There is no law prohibiting where people under 21 may possess or consume alcohol that was given to them by their parents. Persons under 21 are prohibited from having a blood alcohol level of 0.02% or higher while driving.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",166,1077,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
12,device,372.50,382.00,10.00,372.00,0,"FALSE","",1765213466333,1765213466343,1765213466715,"Question: is the show bloodline based on a true story
                                        Context: Bloodline was announced in October 2014 as part of a partnership between Netflix and Sony Pictures Television, representing Netflix's first major deal with a major film studio for a television series. The series was created and executive produced by Todd A. Kessler, Glenn Kessler, and Daniel Zelman, who previously created the FX series Damages. According to its official synopsis released by Netflix, Bloodline ``centers on a close-knit family of four adult siblings whose secrets and scars are revealed when their black sheep brother returns home.''
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",114,853,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
13,device,333.60,345.00,11.00,334.00,0,"TRUE","",1765213467334,1765213467345,1765213467679,"Question: is it bad to wash your hair with shower gel
                                        Context: Shower gels for men may contain the ingredient menthol, which gives a cooling and stimulating sensation on the skin, and some men's shower gels are also designed specifically for use on hair and body. Shower gels contain milder surfactant bases than shampoos, and some also contain gentle conditioning agents in the formula. This means that shower gels can also double as an effective and perfectly acceptable substitute to shampoo, even if they are not labelled as a hair and body wash. Washing hair with shower gel should give approximately the same result as using a moisturising shampoo.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",127,892,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
14,device,359.90,371.00,11.00,360.00,0,"TRUE","",1765213468343,1765213468354,1765213468714,"Question: is the liver part of the excretory system
                                        Context: The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the body. For example, the liver transforms ammonia (which is poisonous) into urea in fish, amphibians and mammals, and into uric acid in birds and reptiles. Urea is filtered by the kidney into urine or through the gills in fish and tadpoles. Uric acid is paste-like and expelled as a semi-solid waste (the ``white'' in bird excrements). The liver also produces bile, and the body uses bile to break down fats into usable fats and unusable waste.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",118,829,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
15,device,433.40,445.00,11.00,434.00,0,"TRUE","",1765213469345,1765213469356,1765213469790,"Question: is fantastic beasts and where to find them a prequel
                                        Context: Fantastic Beasts and Where to Find Them is a 2016 fantasy film directed by David Yates. A joint British and American production, it is a spin-off and prequel to the Harry Potter film series, and it was produced and written by J.K. Rowling in her screenwriting debut, and inspired by her 2001 book of the same name. The film stars Eddie Redmayne as Newt Scamander, with Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Samantha Morton, Jon Voight, Carmen Ejogo, Ron Perlman, Colin Farrell and Johnny Depp in supporting roles. It is the first installment in the Fantastic Beasts film series, and ninth overall in the Wizarding World franchise, that began with the Harry Potter films.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",146,1002,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
16,device,315.30,327.00,11.00,316.00,0,"TRUE","",1765213470354,1765213470365,1765213470681,"Question: will there be a season 8 of vampire diaries
                                        Context: The Vampire Diaries, an American supernatural drama, was renewed for an eighth season by The CW on March 11, 2016. On July 23, 2016, the CW announced that the upcoming season would be the series' last and would consist of 16 episodes. The season premiered on October 21, 2016 and concluded on March 10, 2017.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",84,609,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
17,device,428.80,441.00,12.00,429.00,0,"TRUE","",1765213471356,1765213471368,1765213471797,"Question: was the movie strangers based on a true story
                                        Context: The Strangers is a 2008 American slasher film written and directed by Bryan Bertino. Kristen (Liv Tyler) and James (Scott Speedman) are expecting a relaxing weekend at a family vacation home, but their stay turns out to be anything but peaceful as three masked torturers leave Kristen and James struggling for survival. Writer-director Bertino was inspired by real-life events: the Manson family Tate murders, a multiple homicide; the Keddie Cabin Murders, that occurred in California in 1981; and a series of break-ins that occurred in his own neighborhood as a child. Made on a budget of $9 million, the film was shot on location in rural South Carolina in the fall of 2006.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",142,979,1765213455134,1765213958983,jseq,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,openai/gpt-4o-mini
