dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,route_strategy,pattern,device_model,cloud_model
1,device,10787.20,10801.00,13.00,10788.00,0,"FALSE","true",1764839626856,1764839626869,1764839637657,"Question: does ethanol take more energy make that produces
                                        Context: All biomass goes through at least some of these steps: it needs to be grown, collected, dried, fermented, distilled, and burned. All of these steps require resources and an infrastructure. The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or ``energy returned on energy invested''). Figures compiled in a 2007 report by National Geographic Magazine point to modest results for corn ethanol produced in the US: one unit of fossil-fuel energy is required to create 1.3 energy units from the resulting ethanol. The energy balance for sugarcane ethanol produced in Brazil is more favorable, with one unit of fossil-fuel energy required to create 8 from the ethanol. Energy balance estimates are not easily produced, thus numerous such reports have been generated that are contradictory. For instance, a separate survey reports that production of ethanol from sugarcane, which requires a tropical climate to grow productively, returns from 8 to 9 units of energy for each unit expended, as compared to corn, which only returns about 1.34 units of fuel energy for each unit of energy expended. A 2006 University of California Berkeley study, after analyzing six separate studies, concluded that producing ethanol from corn uses much less petroleum than producing gasoline.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",245,1674,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
1,device,10371.90,20211.00,9839.00,10372.00,0,"FALSE","true",1764839627858,1764839637697,1764839648069,"Question: does ethanol take more energy make that produces
                                        Context: All biomass goes through at least some of these steps: it needs to be grown, collected, dried, fermented, distilled, and burned. All of these steps require resources and an infrastructure. The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or ``energy returned on energy invested''). Figures compiled in a 2007 report by National Geographic Magazine point to modest results for corn ethanol produced in the US: one unit of fossil-fuel energy is required to create 1.3 energy units from the resulting ethanol. The energy balance for sugarcane ethanol produced in Brazil is more favorable, with one unit of fossil-fuel energy required to create 8 from the ethanol. Energy balance estimates are not easily produced, thus numerous such reports have been generated that are contradictory. For instance, a separate survey reports that production of ethanol from sugarcane, which requires a tropical climate to grow productively, returns from 8 to 9 units of energy for each unit expended, as compared to corn, which only returns about 1.34 units of fuel energy for each unit of energy expended. A 2006 University of California Berkeley study, after analyzing six separate studies, concluded that producing ethanol from corn uses much less petroleum than producing gasoline.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",245,1674,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
2,device,10246.50,29468.00,19222.00,10246.00,1,"TRUE","True",1764839628859,1764839648081,1764839658327,"Question: is house tax and property tax are same
                                        Context: Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It is and imposed on the Possessor (not the custodian of property as per 1978, 44th amendment of constitution). It resembles the US-type wealth tax and differs from the excise-type UK rate. The tax power is vested in the states and is delegated to local bodies, specifying the valuation method, rate band, and collection procedures. The tax base is the annual rental value (ARV) or area-based rating. Owner-occupied and other properties not producing rent are assessed on cost and then converted into ARV by applying a percentage of cost, usually four percent. Vacant land is generally exempt. Central government properties are exempt. Instead a 'service charge' is permissible under executive order. Properties of foreign missions also enjoy tax exemption without requiring reciprocity. The tax is usually accompanied by service taxes, e.g., water tax, drainage tax, conservancy (sanitation) tax, lighting tax, all using the same tax base. The rate structure is flat on rural (panchayat) properties, but in the urban (municipal) areas it is mildly progressive with about 80% of assessments falling in the first two brackets.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",219,1507,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
3,device,3959.60,32438.00,28478.00,3960.00,1,"TRUE","true",1764839629862,1764839658340,1764839662300,"Question: is pain experienced in a missing body part or paralyzed area
                                        Context: Phantom pain sensations are described as perceptions that an individual experiences relating to a limb or an organ that is not physically part of the body. Limb loss is a result of either removal by amputation or congenital limb deficiency. However, phantom limb sensations can also occur following nerve avulsion or spinal cord injury.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",85,654,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
4,device,5600.80,37047.00,31446.00,5601.00,1,"TRUE","true",1764839630866,1764839662312,1764839667913,"Question: is harry potter and the escape from gringotts a roller coaster ride
                                        Context: Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal Studios Florida, a theme park located within the Universal Orlando Resort. Similar to dark rides, the roller coaster utilizes special effects in a controlled-lighting environment and also employs motion-based 3-D projection of both animation and live-action sequences to enhance the experience. The ride, which is themed to the Gringotts Wizarding Bank, became the flagship attraction for the expanded Wizarding World of Harry Potter when it opened on July 8, 2014.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",117,880,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
5,device,5104.50,41163.00,36059.00,5104.00,1,"TRUE","true",1764839631867,1764839667926,1764839673030,"Question: is there a difference between hydroxyzine hcl and hydroxyzine pam
                                        Context: Hydroxyzine preparations require a doctor's prescription. The drug is available in two formulations, the pamoate and the dihydrochloride or hydrochloride salts. Vistaril, Equipose, Masmoran, and Paxistil are preparations of the pamoate salt, while Atarax, Alamon, Aterax, Durrax, Tran-Q, Orgatrax, Quiess, and Tranquizine are of the hydrochloride salt.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",77,675,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
6,device,4637.20,44806.00,40168.00,4638.00,1,"FALSE","false",1764839632875,1764839673043,1764839677681,"Question: is barq's root beer a pepsi product
                                        Context: Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having caffeine. Barq's, created by Edward Barq and bottled since the turn of the 20th century, is owned by the Barq family but bottled by the Coca-Cola Company. It was known as Barq's Famous Olde Tyme Root Beer until 2012.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",82,598,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
7,device,6308.70,50124.00,43815.00,6309.00,1,"TRUE","true",1764839633877,1764839677692,1764839684001,"Question: can an odd number be divided by an even number
                                        Context: In mathematics, parity is the property of an integer's inclusion in one of two categories: even or odd. An integer is even if it is evenly divisible by two and odd if it is not even. For example, 6 is even because there is no remainder when dividing it by 2. By contrast, 3, 5, 7, 21 leave a remainder of 1 when divided by 2. Examples of even numbers include −4, 0, 82 and 178. In particular, zero is an even number. Some examples of odd numbers are −5, 3, 29, and 73.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",124,772,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
8,device,6178.80,55308.00,49129.00,6179.00,1,"TRUE","true",1764839634884,1764839684013,1764839690192,"Question: is there a word with q without u
                                        Context: Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwords; the only modern-English words that contain Q not followed by U and are not borrowed from another language are qiana, qwerty, and tranq. However, all of the loanwords on this list are considered to be naturalised in English according to at least one major dictionary (see References), often because they refer to concepts or societal roles that do not have an accurate equivalent in English. For words to appear here, they must appear in their own entry in a dictionary; words which occur only as part of a longer phrase are not included.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",138,921,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
9,device,2454.10,56769.00,54315.00,2454.00,1,"TRUE","True",1764839635889,1764839690204,1764839692658,"Question: can u drive in canada with us license
                                        Context: Persons driving into Canada must have their vehicle's registration document and proof of insurance.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",42,394,1764839626747,1764843162236,always_device,once-per-sec,onnx-community/Qwen3-4B-ONNX,meta-llama/llama-3.2-1b-instruct
