Lambda,Policy,Total Latency (s),Total Latency std (s),Avg Inference Time (s),Inference Time std (s),Avg Device Queue Length,Avg Cloud Queue Length
0.1,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13044158156948574,0.035694183687495745,0.12952919009152306,0.03440975840216112,9.107341769959005e-05,0.0
0.1,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14408600094465318,0.06094073118020986,0.14286537965036655,0.05969025115596335,0.0,0.00012184041339996206
0.1,Round Robin 2x Device,0.12952296920035627,0.03443615446839212,0.1295189335827111,0.034433495470444796,0.0,0.0
0.1,Round Robin 2x Cloud,0.14310110141269106,0.05986247915057472,0.14309468738297995,0.05985677471603489,0.0,0.0
0.1,Round Robin (Device/Cloud),0.13626232235004843,0.0492049301063591,0.13625621335549593,0.04920018879700636,2.1637515073098212e-07,3.9341465694745265e-07
0.1,Stateless Threshold,0.12447272064171022,0.04331341743514615,0.12401999633797321,0.042812822885654536,3.291952272162093e-05,1.2270673841970078e-05
0.1,HERO,0.12398094101407248,0.042948262939277095,0.12394841027435288,0.042954117088659115,2.857935711184406e-06,3.892293379260181e-07
0.2,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13146575082824755,0.03711807022776384,0.12960441653527716,0.03450951464452317,0.00037291593090701226,0.0
0.2,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1453223458675929,0.06221100835916508,0.14286795721979514,0.059690367565844726,0.0,0.0004917336162852693
0.2,Round Robin 2x Device,0.12960848874410316,0.03449383256605793,0.12959446736575306,0.03448141562912498,0.0,0.0
0.2,Round Robin 2x Cloud,0.14312200891680651,0.05988041682652962,0.14309715825808614,0.05985785476847502,0.0,0.0
0.2,Round Robin (Device/Cloud),0.13634566939597287,0.04922184202892088,0.13632609800268367,0.04920529714460141,1.523099938917595e-06,2.398003620933776e-06
0.2,Stateless Threshold,0.12495805990211753,0.0440354544781564,0.12404902907459706,0.04302677705335754,0.00012966853155012452,5.245462656708737e-05
0.2,HERO,0.12416540959120415,0.04308040184358443,0.1241002069674806,0.043085925663504526,1.155471071028848e-05,1.5085512399108936e-06
0.30000000000000004,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13232985198744945,0.03834832205045341,0.12951237720987963,0.03445463974616123,0.0008467161478582791,0.0
0.30000000000000004,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14662442905083722,0.06355756888100039,0.1428647291525615,0.05969350101820039,0.0,0.0011298765579055802
0.30000000000000004,Round Robin 2x Device,0.1295353070383167,0.03454625724756671,0.12950227082853985,0.034508943039045545,0.0,0.0
0.30000000000000004,Round Robin 2x Cloud,0.14315286464716326,0.05990709776497112,0.14309408562718254,0.05985593913667905,0.0,0.0
0.30000000000000004,Round Robin (Device/Cloud),0.13632704080685393,0.04927580696580078,0.13627902329102215,0.04922954700675733,5.3962628638896565e-06,9.034108584829815e-06
0.30000000000000004,Stateless Threshold,0.1253509708967783,0.0445257233335648,0.1239911598793767,0.04308179839406084,0.0002940128955764197,0.00011464167988556898
0.30000000000000004,HERO,0.12420949073566077,0.04314171248522006,0.12410056338270105,0.043140135597000966,2.816847383186619e-05,4.5667084894512725e-06
0.4,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13333952439738891,0.03968532521123499,0.12951976351386385,0.034435693292641026,0.001530568334683614,0.0
0.4,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14796737340758187,0.0649510983907299,0.14286478819039883,0.059692482462462074,0.0,0.0020445927403106336
0.4,Round Robin 2x Device,0.1295706486569285,0.03452062409732494,0.12950933555121164,0.03445536527685427,0.0,0.0
0.4,Round Robin 2x Cloud,0.14320362743118376,0.05995024981710293,0.14309441067258058,0.05985773278555594,0.0,0.0
0.4,Round Robin (Device/Cloud),0.13634762616737892,0.049276394808024655,0.13626092885186253,0.04919413612916134,1.2169941179423771e-05,2.2569450091188912e-05
0.4,Stateless Threshold,0.12589339586138457,0.046913452512745445,0.12413211410466982,0.044966416102286515,0.0004274009843396472,0.00027834008347131197
0.4,HERO,0.12443976433475167,0.043361776540721556,0.12427885799905812,0.043340068271107327,5.423438903888738e-05,1.0240366398812883e-05
0.5,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.13436477539171832,0.04109266203567255,0.12952309493727152,0.03449516573536456,0.002425060885085745,0.0
