dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model,jseq_predicted_device_inference_time,jseq_predicted_device_total_time,jseq_expected_device_finish_time,jseq_expected_device_number_jobs,jseq_predicted_cloud_inference_time,jseq_predicted_cloud_total_time,jseq_expected_cloud_finish_time,jseq_expected_cloud_number_jobs
499,cloud,161.20,174.00,13.00,161.00,1,"False","false",1772103781243,1772103781256,1772103781417,"Question: is it true that the ring finger is connected to the heart
                                        Context: Vena amoris is a Latin name meaning, literally, ``vein of love''. Traditional belief established that this vein ran directly from the fourth finger of the left hand to the heart. This theory has been cited in western cultures as one of the reasons the engagement ring and/or wedding ring was placed on the fourth finger, or ``ring finger''. This traditional belief is factually inaccurate as all the fingers in the hand have a similar vein structure.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",108,765,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
1,cloud,120.30,129.00,9.00,120.00,1,"False","false",1772103782243,1772103782252,1772103782372,"Question: is season 14 the last season for grey's anatomy
                                        Context: On April 20, 2018, ABC officially renewed Grey's Anatomy for a network primetime drama record-setting fifteenth season.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",46,424,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
2,cloud,120.40,130.00,10.00,120.00,0,"False","true",1772103783251,1772103783261,1772103783381,"Question: is any part of lake michigan in canada
                                        Context: Though the five lakes lie in separate basins, they form a single, naturally interconnected body of fresh water, within the Great Lakes Basin. They form a chain connecting the east-central interior of North America to the Atlantic Ocean. From the interior to the outlet at the Saint Lawrence River, water flows from Superior to Huron and Michigan, southward to Erie, and finally northward to Lake Ontario. The lakes drain a large watershed via many rivers, and are studded with approximately 35,000 islands. There are also several thousand smaller lakes, often called ``inland lakes,'' within the basin. The surface area of the five primary lakes combined is roughly equal to the size of the United Kingdom, while the surface area of the entire basin (the lakes and the land they drain) is about the size of the UK and France combined. Lake Michigan is the only one of the Great Lakes that is located entirely within the United States; the others form a water boundary between the United States and Canada. The lakes are divided among the jurisdictions of the Canadian province of Ontario and the U.S. states of Michigan, Wisconsin, Minnesota, Illinois, Indiana, Ohio, Pennsylvania, and New York. Both Ontario and Michigan include in their boundaries portions of four of the lakes: Ontario does not border Lake Michigan, and Michigan does not border Lake Ontario. New York and Wisconsin's jurisdictions extend into two lakes, and each of the remaining states into one of the lakes.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",273,1776,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
3,cloud,136.40,147.00,10.00,137.00,0,"False","true",1772103784257,1772103784267,1772103784404,"Question: is g major and e minor the same
                                        Context: For example, G major and E minor both have a single sharp in their key signature at F♯; therefore, E minor is the relative minor of G major, and conversely G major is the relative major of E minor. The tonic of the relative minor is the sixth scale degree of the major scale, while the tonic of the relative major is the third degree of the minor scale. The relative relationship may be visualized through the circle of fifths.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",108,716,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
4,cloud,167.60,177.00,9.00,168.00,0,"False","true",1772103785257,1772103785266,1772103785434,"Question: is what a wonderful world in the public domain
                                        Context: ``What a Wonderful World'' is a pop ballad written by Bob Thiele (as ``George Douglas'') and George David Weiss. It was first recorded by Louis Armstrong and released in 1967 as a single, which topped the pop charts in the United Kingdom. Thiele and Weiss were both prominent in the music world (Thiele as a producer and Weiss as a composer/performer). Armstrong's recording was inducted in the Grammy Hall of Fame in 1999. The publishing for this song is controlled by Memory Lane Music Group, Carlin Music Corp. and BMG Rights Management.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",121,844,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
5,cloud,134.20,145.00,10.00,135.00,1,"True","true",1772103786260,1772103786270,1772103786405,"Question: does rachel and ross get together in the end
                                        Context: The series finale closes several long-running storylines. Ross Geller (David Schwimmer) confesses his love for Rachel Green (Jennifer Aniston), and they decide to resume their relationship; and Monica Geller (Courteney Cox) and Chandler Bing (Matthew Perry) adopt twins and move to the suburbs. The episode's final scene shows the group leaving their apartments for the final time and going to Central Perk for one last cup of coffee.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",97,736,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
6,cloud,127.80,138.00,10.00,128.00,0,"False","true",1772103787267,1772103787277,1772103787405,"Question: do i have to show identification to a police officer
                                        Context: ``Stop and identify'' statutes are statutory laws in the United States that authorize police to legally obtain the identification of someone whom they reasonably suspect of having committed a crime. If there is no reasonable suspicion that a crime has been committed, is being committed, or is about to be committed, an individual is not required to provide identification, even in ``Stop and ID'' states.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",95,715,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
7,cloud,126.90,137.00,11.00,126.00,1,"False","false",1772103788269,1772103788280,1772103788406,"Question: is the venus fly trap the only carnivorous plant
                                        Context: Speed of closing can vary depending on the amount of humidity, light, size of prey, and general growing conditions. The speed with which traps close can be used as an indicator of a plant's general health. Venus flytraps are not as humidity-dependent as are some other carnivorous plants, such as Nepenthes, Cephalotus, most Heliamphora, and some Drosera.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",86,661,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
8,cloud,130.80,141.00,10.00,131.00,0,"False","true",1772103789275,1772103789285,1772103789416,"Question: does a double barrel surname have to be hyphenated
                                        Context: In the Western tradition of surnames, there are several types of double surname (also double-barrelled surname). If the two names are joined with a hyphen, it may also be called a hyphenated surname.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",62,507,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
9,cloud,123.30,133.00,10.00,123.00,0,"False","true",1772103790275,1772103790285,1772103790408,"Question: is there a belt above black in karate
                                        Context: In Japanese martial arts the further subdivisions of black belt ranks may be linked to dan grades and indicated by 'stripes' on the belt. Yūdansha (roughly translating from Japanese to ``person who holds a dan grade'') is often used to describe those who hold a black belt rank. While the belt remains black, stripes or other insignia may be added to denote seniority, in some arts, very senior grades will wear differently colored belts. In judo and some forms of karate, a sixth dan will wear a red and white belt. The red and white belt is often reserved only for ceremonial occasions, and a regular black belt is still worn during training. At 9th or 10th dan some schools award red. In some schools of Jujutsu, the Shihan rank and higher wear purple belts. These other colors are often still referred to collectively as ``black belts''.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",175,1136,1772103781239,1772104284577,boolq_validation,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct,-1,-1,-1,-1,-1,-1,-1,-1
