dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
0,device,110.50,111.00,0.00,111.00,0,"fugiat","",1770044486337,1770044486337,1770044486448,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
0,device,97.20,108.00,11.00,97.00,0,"fugiat","",1770044487344,1770044487355,1770044487452,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
1,device,173.70,185.00,11.00,174.00,0,"nobis","",1770044488345,1770044488356,1770044488530,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis
                                        ",128,993,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
2,device,231.00,242.00,11.00,231.00,0,"possimus","",1770044489354,1770044489365,1770044489596,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus
                                        ",178,1355,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
3,device,316.40,327.00,11.00,316.00,0,"soluta","",1770044490363,1770044490374,1770044490690,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta
                                        ",228,1715,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
4,device,397.20,409.00,11.00,398.00,0,"id","",1770044491371,1770044491382,1770044491780,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id
                                        ",278,2091,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
5,device,497.70,508.00,11.00,497.00,0,"quas","",1770044492372,1770044492383,1770044492880,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas
                                        ",328,2474,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
6,device,628.20,639.00,11.00,628.00,0,"architecto","",1770044493378,1770044493389,1770044494017,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto
                                        ",378,2857,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
7,device,723.60,734.00,11.00,723.00,0,"consequatur","",1770044494380,1770044494391,1770044495114,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur
                                        ",428,3263,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
8,device,864.30,875.00,11.00,864.00,0,"omnis","",1770044495381,1770044495392,1770044496256,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur aliquam enim mollitia accusamus commodi, necessitatibus dicta eaque vel eum quis praesentium molestiae fugiat accusantium quisquam aut, sunt aspernatur corrupti, deleniti dolores repellat nulla saepe modi, itaque architecto minus? Repudiandae quod quibusdam delectus distinctio, magni numquam quaerat nulla minus repellat, perferendis fugiat facere in rem dolorem similique tenetur ad omnis
                                        ",478,3654,1770044486336,1770044765326,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
