dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
1,device,348.60,350.00,2.00,348.00,0,"3","4",1769852027706,1769852027708,1769852028056,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: CEO Eisner to Step Down in Sept 2006 -WSJ
                                        News Description:  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.
                                        ",87,738,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
1,device,351.10,362.00,11.00,351.00,0,"3","4",1769852028708,1769852028719,1769852029070,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: CEO Eisner to Step Down in Sept 2006 -WSJ
                                        News Description:  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.
                                        ",87,738,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
2,device,352.50,363.00,11.00,352.00,0,"3","4",1769852029715,1769852029726,1769852030078,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Technology ; STT, Telekom Malaysia buy 48 pct of Idea
                                        News Description: Singapore government-owned STT and TM International, the international investment arm of Telekom Malaysia, said in a statement on Saturday they had signed  quot;definitive agreements quot; to buy the entire stake of Cingular Wireless in Idea.
                                        ",93,813,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
3,device,304.60,313.00,8.00,305.00,0,"3","4",1769852030716,1769852030724,1769852031029,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Guilty Plea Seen in Computer Associates Case
                                        News Description: Steven Woghin, the former general counsel of Computer Associates, will plead guilty to criminal charges.
                                        ",70,666,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
4,device,357.40,369.00,11.00,358.00,0,"3","4",1769852031721,1769852031732,1769852032090,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Coke opens its coolers to rival products
                                        News Description: Coca Cola is to allow other companies #39; products in its shop coolers for the first time. It has agreed the move in a deal with the European Commission to settle a five year competition case.
                                        ",91,751,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
5,device,339.10,345.00,6.00,339.00,0,"2","4",1769852032727,1769852032733,1769852033072,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title:  #39;Noles Rebound
                                        News Description: Leon Washington ran for 104 yards and a touchdown and Florida State sacked Alabama-Birmingham #39;s Darrell Hackney eight times Saturday night to rebound from a disappointing loss to Miami with a 34-7 victory.
                                        ",83,745,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
6,device,317.80,324.00,6.00,318.00,0,"3","4",1769852033733,1769852033739,1769852034057,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: Earnings Improve at Japanese Electronics Firms
                                        News Description: The Japanese electronics makers remained cautious about the months ahead, citing worries about global growth. Japanese corporate profits are almost certain to be hurt by any economic slowdown in Japan and in the United States.
                                        ",89,790,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
7,device,344.00,355.00,11.00,344.00,0,"3","4",1769852034737,1769852034748,1769852035092,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: US Airways May Liquidate by February
                                        News Description: ALEXANDRIA, Va. Sept. 27, 2004 - US Airways Group Inc. warned in a bankruptcy court filing that it may have to liquidate by February if a judge does not impose a temporary 23 percent pay cut on its union workers.
                                        ",94,766,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
8,device,318.60,328.00,9.00,319.00,0,"3","4",1769852035738,1769852035747,1769852036066,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: A mixed economic bag in July
                                        News Description: Factory orders in July for costly manufactured goods recorded the biggest gain in four months. New home sales, meanwhile, slid, according to a pair of reports 
                                        ",80,705,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
9,device,352.30,357.00,5.00,352.00,1,"4","4",1769852036745,1769852036750,1769852037102,"Task: Determine whether the following news article belong to world, sports, business or Sci/Tech category.
                                        Categories: World (1), Sports (2), Business (3), Sci/Tech (4).
                                        Instructions: Answer with ONLY the id (1,2,3 or 4) of the class. Do not provide any explanation or additional text.
                                        News Title: EU Accuses Microsoft of Paternal View
                                        News Description: Microsoft Corp. said Friday that small companies and their customers would suffer most if it is forced to remove its digital media software from Windows, while the European Union accused it of being ""paternalistic"" in trying to decide what's best for everyone.
                                        ",96,815,1769852027706,1769852531594,ag_news_test,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,meta-llama/llama-3.2-1b-instruct
