dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
0,device,2871.80,2874.00,2.00,2872.00,0,"fugiat","alicia",1769860339638,1769860339640,1769860342512,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
0,device,1113.70,2526.00,1413.00,1113.00,0,"fugiat","alicia",1769860341118,1769860342531,1769860343644,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
1,device,1795.80,3312.00,1516.00,1796.00,0,"nobis","deserunt",1769860342143,1769860343659,1769860345455,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis
                                        ",128,993,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
2,device,2184.50,4507.00,2323.00,2184.00,0,"possimus","labore",1769860343146,1769860345469,1769860347653,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus
                                        ",178,1355,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
3,device,2624.60,6142.00,3517.00,2625.00,0,"soluta","ut",1769860344150,1769860347667,1769860350292,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta
                                        ",228,1715,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
4,device,3619.30,8761.00,5141.00,3620.00,0,"id","desperat",1769860345162,1769860350303,1769860353923,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id
                                        ",278,2091,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
5,device,4510.10,12272.00,7762.00,4510.00,0,"quas","sunt",1769860346172,1769860353934,1769860358444,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas
                                        ",328,2474,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
6,device,5824.90,17110.00,11285.00,5825.00,0,"architecto","labore",1769860347173,1769860358458,1769860364283,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto
                                        ",378,2857,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
7,device,7505.50,23623.00,16117.00,7506.00,0,"consequatur","sit",1769860348178,1769860364295,1769860371801,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur
                                        ",428,3263,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
8,device,9677.00,32305.00,22628.00,9677.00,0,"omnis","satisfaciat.",1769860349185,1769860371813,1769860381490,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur aliquam enim mollitia accusamus commodi, necessitatibus dicta eaque vel eum quis praesentium molestiae fugiat accusantium quisquam aut, sunt aspernatur corrupti, deleniti dolores repellat nulla saepe modi, itaque architecto minus? Repudiandae quod quibusdam delectus distinctio, magni numquam quaerat nulla minus repellat, perferendis fugiat facere in rem dolorem similique tenetur ad omnis
                                        ",478,3654,0,1769863944564,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
