dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
1,cloud,861.70,866.00,4.00,862.00,1,"false","false",1769881578362,1769881578366,1769881579228,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: re : next step  al ,  i have spoken with mark lay and he is interested .  even if we cannot help you here in enron , he may be able  to put you in touch with other cv groups in town .  please , call him directly and give my name as a reference .  ( 713 ) 853 - 7408  good luck .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 01 / 24 / 2001  02 : 20 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  vince j kaminski  01 / 24 / 2001 11 : 21 am  to : al arfsten @ enron  cc :  subject : re : next step  al ,  i have called mark lay and left a message on his voice mail .  vince  al arfsten on 01 / 24 / 2001 11 : 16 : 25 am  to : vkamins @ enron . com  cc :  subject : next step  vince : your suggestion to introduce the concept discussed with one of  the lays is welcomed . i hope that this would mean that you would remain  involved at some level . the design of the model and its potential  economics could be key to how worthy the effort might be . enron could  be an ideal environment from which to the concept enhancement through to  commercialization could be successfully accomplished . please  confidentially share matters as you think best and advise me of the  interest generated . i am ready to meet there at your building or  elsewhere that is appropriate . best regards , al arfsten 713 965 2158
                                        Answer:",345,1684,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
1,cloud,327.00,344.00,17.00,327.00,1,"false","false",1769881579374,1769881579391,1769881579718,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: re : next step  al ,  i have spoken with mark lay and he is interested .  even if we cannot help you here in enron , he may be able  to put you in touch with other cv groups in town .  please , call him directly and give my name as a reference .  ( 713 ) 853 - 7408  good luck .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 01 / 24 / 2001  02 : 20 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  vince j kaminski  01 / 24 / 2001 11 : 21 am  to : al arfsten @ enron  cc :  subject : re : next step  al ,  i have called mark lay and left a message on his voice mail .  vince  al arfsten on 01 / 24 / 2001 11 : 16 : 25 am  to : vkamins @ enron . com  cc :  subject : next step  vince : your suggestion to introduce the concept discussed with one of  the lays is welcomed . i hope that this would mean that you would remain  involved at some level . the design of the model and its potential  economics could be key to how worthy the effort might be . enron could  be an ideal environment from which to the concept enhancement through to  commercialization could be successfully accomplished . please  confidentially share matters as you think best and advise me of the  interest generated . i am ready to meet there at your building or  elsewhere that is appropriate . best regards , al arfsten 713 965 2158
                                        Answer:",345,1684,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
2,cloud,345.50,362.00,16.00,346.00,0,"false","true",1769881580377,1769881580393,1769881580739,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: re : recruiting for weather risk management group  hello vince ,  thank you very much for forwarding the message . i hope all is well with  you !  regards ,  heather  on fri , 27 apr 2001 vince . j . kaminski @ enron . com wrote :  >  > heather ,  >  > i am forwarding this message to 2 groups in enron that may be interested .  >  > vince  >  >  >  >  >  > "" heather thorne "" on 04 / 26 / 2001 08 : 55 : 56 pm  >  > to : "" christie patrick "" , "" vince kaminsky ""  >  > cc : "" greg hunt home ""  > subject : recruiting for weather risk management group  >  >  >  >  > dear vince and christie ,  >  >  >  > i hope that you are both well , and are ready for the onset of summer in  > houston ! ? i was disappointed that i was not able to see you at the final  > tiger team presentations last month due to a family emergency . ? i hope that  > the teams ' analyses will be helpful to your work , and echo their  > appreciation of your involvement and support .  >  >  >  > i am writing with a question regarding recruiting for enron ' s weather risk  > management group . ? my boyfriend , greg hunt , is currently seeking  > opportunities to combine his background in meteorology ( ms and 2 years of  > research at lawrence livermore nat ' l lab ) and an mba in finance and  > information technology . ? i began thinking about enron ' s work in weather  > derivatives , and realized that there could possibly be a great fit there .  >  >  >  > i have copied greg on this message , and would appreciate any suggestions  > you can offer regarding opportunities in this group . ? thank you very much !  >  >  >  > best regards ,  >  >  >  > heather  >  >  >  >  >  >  >  >  >  > heather n . thorne  >  > mba candidate , 2001  >  > the wharton school at university of pennsylvania  >  > 2516 pine street  >  > philadelphia , pa 19103  >  > ( 215 ) 545 - 3022  >  >  >  >  >  >
                                        Answer:",434,2186,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
3,cloud,397.80,414.00,17.00,397.00,1,"false","false",1769881581379,1769881581396,1769881581793,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: allocation schedule  we spoke prior to the holiday and you were working on a list on support names  and projects that research is working on for various bus . can you tell me  how you are doing on that ? sarah brown , my manager , had a meeting with corp  and they are disputing the billing we are proposing to bill to them ( $ 1 . 9 m ) .  their argument is that they are going to bill ena back anyway ; therefore ,  they have agreed to take 40 % of the amount we intented to bill them in 2001 ,  which is approximately $ 760 k . if you have any questions , please call .  thanx .
                                        Answer:",153,899,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
4,cloud,256.80,273.00,16.00,257.00,0,"false","true",1769881582382,1769881582398,1769881582655,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: rac organization changes  the continued growth of the enron europe office and related businesses has  prompted a change in the management of risk assessment and control ( rac ) in  london . effective in early january , 2001 , ted murphy will transfer to the  london office and manage the rac activities which includes credit / market risk  and underwriting . ted will continue to manage the enron global market risk  activities . steve young , currently managing rac in london , will begin a new  assignment within ebs , also in london .  the houston market risk group will be managed by david port .  as enron continues to expand its trading and risk management businesses , it  is vital that trading and credit policies are administered in a consistent  and accurate manner across the company . hopefully this realignment will  accomplish that goal .  please join me in congratulating ted , david and steve on their new  assignments .
                                        Answer:",191,1254,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
5,cloud,330.10,347.00,16.00,331.00,0,"true","false",1769881583390,1769881583406,1769881583737,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: hey aro aro ; )  projecthoneypot @ projecthoneypot . org ,  come join my network at hi 5 !  i now have over 548 friends in my network ! you can meet all of them ,  plus more than 12 million other hi 5 members ! once you join , you will immediately  be connected to all the people in my circle of friends .  hi 5 is an online service that lets you meet new people , view photos ,  browse profiles , and chat with your friends .  i ' ll see you inside ,  donaji  already has more than 12 million members !  gender / age :  female / 19  location :  metairie  this invitation was sent to projecthoneypot @ projecthoneypot . org on behalf of donaji ( teporocha 55 @ hotmail . com ) .  if you do not wish to receive invitations from hi 5 members , click on the link below : 
                                        Answer:",188,1086,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
6,cloud,466.50,483.00,17.00,466.00,0,"false","true",1769881584412,1769881584429,1769881584895,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: california update 5 / 4 / 01  if you have any questions , please contact kristin walsh at ( 713 ) 853 - 9510 .  bridge loan financing bills may not meet their may 8 th deadline due to lack of support  sources report there will not be a vote regarding the authorization for the bond issuance / bridge loan by the may 8 th deadline . any possibility for a deal has reportedly fallen apart . according to sources , both the republicans and democratic caucuses are turning against davis . the democratic caucus is reportedly "" unwilling to fight "" for davis . many legislative republicans and democrats reportedly do not trust davis and express concern that , once the bonds are issued to replenish the general fund , davis would "" double dip "" into the fund . clearly there is a lack of good faith between the legislature and the governor . however , it is believed once davis discloses the details of the power contracts negotiated , a bond issuance will take place . additionally , some generator sources have reported that some of the long - term power contracts ( as opposed to those still in development ) require that the bond issuance happen by july 1 , 2001 . if not , the state may be in breach of contract . sources state that if the legislature does not pass the bridge loan legislation by may 8 th , having a bond issuance by july lst will be very difficult .  the republicans were planning to offer an alternative plan whereby the state would "" eat "" the $ 5 billion cost of power spent to date out of the general fund , thereby decreasing the amount of the bond issuance to approximately $ 8 billion . however , the reportedly now are not going to offer even this concession . sources report that the republicans intend to hold out for full disclosure of the governor ' s plan for handling the crisis , including the details and terms of all long - term contracts he has negotiated , before they will support the bond issuance to go forward .  currently there are two bills dealing with the bridge loan ; ab 8 x and ab 31 x . ab 8 x authorizes the dwr to sell up to $ 10 billion in bonds . this bill passed the senate in march , but has stalled in the assembly due to a lack of republican support . ab 31 x deals with energy conservation programs for community college districts . however , sources report this bill may be amended to include language relevant to the bond sale by senator bowen , currently in ab 8 x . senator bowen ' s language states that the state should get paid before the utilities from rate payments ( which , if passed , would be likely to cause a socal bankruptcy ) .  according to sources close to the republicans in the legislature , republicans do not believe there should be a bridge loan due to money available in the general fund . for instance , tony strickland has stated that only 1 / 2 of the bonds ( or approximately $ 5 billion ) should be issued . other republicans reportedly do not support issuing any bonds . the republicans intend to bring this up in debate on monday . additionally , lehman brothers reportedly also feels that a bridge loan is unnecessary and there are some indications that lehman may back out of the bridge loan .  key points of the bridge financing  initial loan amount : $ 4 . 125 b  lenders : jp morgan $ 2 . 5 b  lehman brothers $ 1 . 0 b  bear stearns $ 625 m  tax exempt portion : of the $ 4 . 125 b ; $ 1 . 6 b is expected to be tax - exempt  projected interest rate : taxable rate 5 . 77 %  tax - exempt rate 4 . 77 %  current projected  blended ir : 5 . 38 %  maturity date : august 29 , 2001  for more details please contact me at ( 713 ) 853 - 9510  bill sb 6 x passed the senate yesterday , but little can be done at this time  the senate passed sb 6 x yesterday , which authorizes $ 5 billion to create the california consumer power and conservation authority . the $ 5 billion authorized under sb 6 x is not the same as the $ 5 billion that must be authorized by the legislature to pay for power already purchased , or the additional amount of bonds that must be authorized to pay for purchasing power going forward . again , the republicans are not in support of these authorizations . without the details of the long - term power contracts the governor has negotiated , the republicans do not know what the final bond amount is that must be issued and that taxpayers will have to pay to support . no further action can be taken regarding the implementation of sb 6 x until it is clarified how and when the state and the utilities get paid for purchasing power . also , there is no staff , defined purpose , etc . for the california public power and conservation authority . however , this can be considered a victory for consumer advocates , who began promoting this idea earlier in the crisis .  socal edison and bankruptcy  at this point , two events would be likely to trigger a socal bankruptcy . the first would be a legislative rejection of the mou between socal and the governor . the specified deadline for legislative approval of the mou is august 15 th , however , some decision will likely be made earlier . according to sources , the state has yet to sign the mou with socal , though socal has signed it . the republicans are against the mou in its current form and davis and the senate lack the votes needed to pass . if the legislature indicates that it will not pas the mou , socal would likely file for voluntary bankruptcy ( or its creditor - involuntary ) due to the lack operating cash .  the second likely triggering event , which is linked directly to the bond issuance , would be an effort by senator bowen to amend sb 31 x ( bridge loan ) stating that the dwr would received 100 % of its payments from ratepayers , then the utilities would receive the residual amount . in other words , the state will get paid before the utilities . if this language is included and passed by the legislature , it appears likely that socal will likely file for bankruptcy . socal is urging the legislature to pay both the utilities and the dwr proportionately from rate payments .
                                        Answer:",1199,6394,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
7,cloud,430.50,447.00,16.00,431.00,1,"false","false",1769881585416,1769881585432,1769881585863,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: wharton entrepreneurship conference info .  this looks like a great opportunity for us . jeff  - - - - - - - - - - - - - - - - - - - - - - forwarded by jeffrey a shankman / hou / ect on 10 / 04 / 2000  05 : 54 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  kristin gandy @ enron  10 / 04 / 2000 02 : 14 pm  to : jeffrey a shankman / hou / ect @ ect  cc :  subject : wharton entrepreneurship conference info .  do you want to participate in this event ?  kristin  - - - - - - - - - - - - - - - - - - - - - - forwarded by kristin gandy / na / enron on 10 / 04 / 2000  02 : 08 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  cassandra santos on 09 / 29 / 2000 01 : 04 : 21 pm  to : celeste . roberts @ enron . com  cc : kristin . gandy @ enron . com  subject : wharton entrepreneurship conference info .  dear celeste and kristin :  i am re - sending information regarding the wharton entrepreneurship  conference and the opportunities to sponsor the conference as well as  participate in the expo . we are expecting the conference to double in  size with more than 1000 attendees . in addition , we would like to  emphasize that the spirit of entrepreneurship is alive and well outside  of the "" dot . com "" world including in large , innovative companies such as  enron . we have already lined up some smash hit speakers including  christy jones of trilogy and pcorder as well as anita roddick of the  body shop . we would be very interested to have the participation of  enron in the conferences as a sponsor or at the very least , a  participant in our career expo .  thank you very much for your time and consideration .  sincerely ,  cassandra santos  co - chair , wharton entrepreneurship conference  215 . 732 . 7940 h  215 . 498 . 3243 w  - resend enron . doc  - fundraising packet 2000 . doc
                                        Answer:",444,2137,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
8,cloud,312.70,329.00,17.00,312.00,1,"false","false",1769881586419,1769881586436,1769881586748,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: re : joint probabilities  michael  a table ( table 2 ) has been added with probabilities for rab > x , fx > y . at  the current currency level , approx 1 . 5 , all the numbers are multiplied by 1 / 2  because the currency is equally likely to rise or fall . this may give a  pessimetic view of achieving a given stock price .  let me know when you want to get togetrher .  bob
                                        Answer:",110,694,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
9,cloud,352.40,368.00,15.00,353.00,1,"false","false",1769881587435,1769881587450,1769881587803,"Task: Determine whether the following message is spam or not.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Message: Subject: resume for chris pernoud  molly ,  we want to hire this very bright young man as a part - time employee ,  reporting to mike roberts . mike will be contacting you regarding the details .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 01 / 24 / 2001  10 : 01 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  "" chris pernoud "" on 01 / 24 / 2001 09 : 21 : 11 am  please respond to  to : "" michael roberts "" , "" vincent kaminski ""  , "" shirley crenshaw ""  cc :  subject : resume for chris pernoud  gentlemen ,  thank you for your time and consideration yesterday . i am excited about  working for enron and gladly accept your offer .  to reiterate our consensus today , i will be working an average of 10 hours a  week , mostly early mornings from around 5 to 7 . another option for me might  be to work mondays , wednesdays , and fridays from around 5 to 8 or 9 .  toni graham was my contact in hr six months ago . she is probably more  familiar with my previous file than anyone else . if you have any questions  or concerns please don ' t hesitate to contact me .  thank you ,  chris pernoud  = = = = = = = = = = = = = =  christopher pernoud  7315 brompton rd .  apt . 231 b  houston , tx 77025  ( 713 ) 349 - 8963  cgpl @ cornell . edu  - chrispernoud . doc
                                        Answer:",339,1634,1769881578355,1769882084662,spam_ham_dataset,always_cloud,once-per-sec,onnx-community/gemma-3-270m-it-ONNX,meta-llama/llama-3.2-1b-instruct
