dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
0,device,1694.10,1701.00,7.00,1694.00,0,"fugiat","",1769846943800,1769846943807,1769846945501,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
0,device,945.40,952.00,7.00,945.00,0,"fugiat","",1769846945509,1769846945516,1769846946461,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
1,device,1692.80,1706.00,13.00,1693.00,0,"nobis","",1769846946561,1769846946574,1769846948267,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis
                                        ",128,993,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
2,device,819.00,1595.00,776.00,819.00,0,"possimus","",1769846947568,1769846948344,1769846949163,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus
                                        ",178,1355,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
3,device,1543.00,2138.00,595.00,1543.00,0,"soluta","",1769846948582,1769846949177,1769846950720,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta
                                        ",228,1715,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
4,device,1727.70,2877.00,1149.00,1728.00,0,"id","",1769846949591,1769846950740,1769846952468,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id
                                        ",278,2091,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
5,device,2319.10,4081.00,1762.00,2319.00,0,"quas","",1769846950725,1769846952487,1769846954806,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas
                                        ",328,2474,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
6,device,2704.50,5792.00,3087.00,2705.00,0,"architecto","",1769846951733,1769846954820,1769846957525,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto
                                        ",378,2857,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
7,device,3355.50,8156.00,4801.00,3355.00,0,"consequatur","",1769846952737,1769846957538,1769846960893,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur
                                        ",428,3263,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
8,device,4106.70,11267.00,7160.00,4107.00,0,"omnis","",1769846953754,1769846960914,1769846965021,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur aliquam enim mollitia accusamus commodi, necessitatibus dicta eaque vel eum quis praesentium molestiae fugiat accusantium quisquam aut, sunt aspernatur corrupti, deleniti dolores repellat nulla saepe modi, itaque architecto minus? Repudiandae quod quibusdam delectus distinctio, magni numquam quaerat nulla minus repellat, perferendis fugiat facere in rem dolorem similique tenetur ad omnis
                                        ",478,3654,0,1769847535754,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/granite-4.0-350m-ONNX-web,ibm-granite/granite-4.0-h-micro
