dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model
0,device,348.00,350.00,2.00,348.00,0,"fugiat","alicia",1770048513147,1770048513149,1770048513497,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
0,device,321.10,332.00,11.00,321.00,0,"fugiat","alicia",1770048514197,1770048514208,1770048514529,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat
                                        ",78,609,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
1,device,484.20,496.00,12.00,484.00,0,"nobis","deserunt",1770048515202,1770048515214,1770048515698,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis
                                        ",128,993,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
2,device,572.20,583.00,11.00,572.00,0,"possimus","labore",1770048516204,1770048516215,1770048516787,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus
                                        ",178,1355,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
3,device,772.30,781.00,9.00,772.00,0,"soluta","laborum",1770048517205,1770048517214,1770048517986,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta
                                        ",228,1715,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
4,device,942.20,953.00,11.00,942.00,0,"id","desperat",1770048518206,1770048518217,1770048519159,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id
                                        ",278,2091,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
5,device,1126.40,1134.00,8.00,1126.00,0,"quas","satisfaci",1770048519207,1770048519215,1770048520341,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas
                                        ",328,2474,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
6,device,1237.90,1381.00,143.00,1238.00,0,"architecto","ut",1770048520209,1770048520352,1770048521590,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto
                                        ",378,2857,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
7,device,1484.40,1871.00,386.00,1485.00,0,"consequatur","sit",1770048521215,1770048521601,1770048523086,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur
                                        ",428,3263,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
8,device,1711.30,2586.00,874.00,1712.00,0,"omnis","sunt",1770048522223,1770048523097,1770048524809,"Task: Determine the last word of the provided text and return it.
                                        Instructions: Answer with ONLY the last word. Do not provide any explanation or additional text.
                                        Text: Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. Impedit iure voluptate repellendus, at vitae illum voluptatibus libero maxime nostrum? Mollitia ipsum necessitatibus voluptates consequatur aperiam eaque tempora soluta atque dolores voluptatibus, necessitatibus vel animi corporis eaque explicabo sed nobis nihil perferendis exercitationem, asperiores quasi harum, impedit cumque quos, vel atque mollitia vero? Voluptas quibusdam ab dolorum quidem qui sequi tempora aliquid, recusandae rerum ipsum neque, qui nesciunt amet eaque molestiae, quasi aliquid dolore earum. Laudantium ipsum ab consequatur iure autem at esse amet quia nesciunt, nisi temporibus unde possimus aperiam, placeat deserunt eaque adipisci laboriosam illum ipsum sunt perspiciatis numquam itaque? Quos deleniti voluptatem nulla porro quas at a velit dolore, mollitia eos sit excepturi nam esse labore magni, deserunt quasi consequuntur repudiandae officia eum unde dolor nesciunt, cupiditate dolorem vitae voluptate porro at fuga blanditiis quia? Eius soluta esse est accusamus recusandae reprehenderit itaque natus eum fugiat, minima iure a laboriosam recusandae officia totam modi quia exercitationem eum, nisi asperiores quod, libero mollitia eius sequi fugiat inventore quam fugit quisquam repellendus neque a, ipsam voluptatibus doloribus laboriosam quod modi amet voluptatum quae accusamus necessitatibus neque? Vero adipisci id veniam necessitatibus consequuntur error dolor, neque hic voluptatibus eos dolores libero ipsam id repellendus placeat, excepturi recusandae accusantium doloremque earum illum blanditiis dolor tempora rem reprehenderit. Magnam sit commodi voluptatem quis sunt saepe beatae, necessitatibus blanditiis eum quos unde est iure ipsa obcaecati sint vel ducimus, mollitia vitae facere quas provident ea? Assumenda eius soluta fugiat quia similique eos sunt tempore nobis quasi ipsa, atque aliquam similique, ratione explicabo ad, sapiente explicabo placeat exercitationem repellendus, architecto facere aperiam ex dolores hic unde. Cupiditate magnam officiis nesciunt nihil, laudantium ex labore doloremque perferendis. Optio modi ullam dolorum quod iusto iste, architecto est laboriosam amet quisquam inventore, architecto consequatur aliquam reprehenderit, vitae suscipit corporis enim perferendis accusantium magni excepturi, dolores similique dolorem ipsum officiis? Amet optio voluptatem at dolorem cum rerum accusantium vitae dolorum itaque, nostrum distinctio vero temporibus placeat laboriosam nemo nam quidem, quo sunt similique culpa ipsum accusantium. Eos consequatur aliquam enim mollitia accusamus commodi, necessitatibus dicta eaque vel eum quis praesentium molestiae fugiat accusantium quisquam aut, sunt aspernatur corrupti, deleniti dolores repellat nulla saepe modi, itaque architecto minus? Repudiandae quod quibusdam delectus distinctio, magni numquam quaerat nulla minus repellat, perferendis fugiat facere in rem dolorem similique tenetur ad omnis
                                        ",478,3654,1770048513145,1770048895995,lorem_ipsum_dataset,always_device,once-per-sec,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct
