dataset_item_id,route,latency_ms,total_latency_ms,queueing_time_ms,inference_time_ms,exact_match,ground_truth,answer,job_start_ts,inference_start_ts,inference_end_ts,prompt,number_of_words,number_of_characters,experiment_start_time_ms,experiment_end_time_ms,dataset_name,route_strategy,pattern,device_model,cloud_model,jseq_predicted_device_inference_time,jseq_predicted_device_total_time,jseq_expected_device_finish_time,jseq_expected_device_number_jobs,jseq_predicted_cloud_inference_time,jseq_predicted_cloud_total_time,jseq_expected_cloud_finish_time,jseq_expected_cloud_number_jobs
2,device,560.00,569.00,9.00,560.00,0,"False","true",1772229726815,1772229726824,1772229727384,"Question: is any part of lake michigan in canada
                                        Context: Though the five lakes lie in separate basins, they form a single, naturally interconnected body of fresh water, within the Great Lakes Basin. They form a chain connecting the east-central interior of North America to the Atlantic Ocean. From the interior to the outlet at the Saint Lawrence River, water flows from Superior to Huron and Michigan, southward to Erie, and finally northward to Lake Ontario. The lakes drain a large watershed via many rivers, and are studded with approximately 35,000 islands. There are also several thousand smaller lakes, often called ``inland lakes,'' within the basin. The surface area of the five primary lakes combined is roughly equal to the size of the United Kingdom, while the surface area of the entire basin (the lakes and the land they drain) is about the size of the UK and France combined. Lake Michigan is the only one of the Great Lakes that is located entirely within the United States; the others form a water boundary between the United States and Canada. The lakes are divided among the jurisdictions of the Canadian province of Ontario and the U.S. states of Michigan, Wisconsin, Minnesota, Illinois, Indiana, Ohio, Pennsylvania, and New York. Both Ontario and Michigan include in their boundaries portions of four of the lakes: Ontario does not border Lake Michigan, and Michigan does not border Lake Ontario. New York and Wisconsin's jurisdictions extend into two lakes, and each of the remaining states into one of the lakes.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",273,1776,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-76229.58401034241,-76229.583984375,1772229650585.416,0,-50605.18965242867,-50605.189697265625,1772229676209.8103,0
5,device,116.80,522.00,405.00,117.00,1,"True","true",1772229726991,1772229727396,1772229727513,"Question: does rachel and ross get together in the end
                                        Context: The series finale closes several long-running storylines. Ross Geller (David Schwimmer) confesses his love for Rachel Green (Jennifer Aniston), and they decide to resume their relationship; and Monica Geller (Courteney Cox) and Chandler Bing (Matthew Perry) adopt twins and move to the suburbs. The episode's final scene shows the group leaving their apartments for the final time and going to Central Perk for one last cup of coffee.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",97,736,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-24915.592948084453,-24915.593017578125,1772229702075.407,0,4447.558338533885,4447.558349609375,1772229731438.5583,2
2,device,199.80,609.00,410.00,199.00,0,"False","true",1772229727114,1772229727524,1772229727723,"Question: is any part of lake michigan in canada
                                        Context: Though the five lakes lie in separate basins, they form a single, naturally interconnected body of fresh water, within the Great Lakes Basin. They form a chain connecting the east-central interior of North America to the Atlantic Ocean. From the interior to the outlet at the Saint Lawrence River, water flows from Superior to Huron and Michigan, southward to Erie, and finally northward to Lake Ontario. The lakes drain a large watershed via many rivers, and are studded with approximately 35,000 islands. There are also several thousand smaller lakes, often called ``inland lakes,'' within the basin. The surface area of the five primary lakes combined is roughly equal to the size of the United Kingdom, while the surface area of the entire basin (the lakes and the land they drain) is about the size of the UK and France combined. Lake Michigan is the only one of the Great Lakes that is located entirely within the United States; the others form a water boundary between the United States and Canada. The lakes are divided among the jurisdictions of the Canadian province of Ontario and the U.S. states of Michigan, Wisconsin, Minnesota, Illinois, Indiana, Ohio, Pennsylvania, and New York. Both Ontario and Michigan include in their boundaries portions of four of the lakes: Ontario does not border Lake Michigan, and Michigan does not border Lake Ontario. New York and Wisconsin's jurisdictions extend into two lakes, and each of the remaining states into one of the lakes.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",273,1776,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,28107.419147613695,28107.419189453125,1772229755221.4192,1,110307.22010287333,110307.22021484375,1772229837421.2202,3
1,cloud,940.20,943.00,3.00,940.00,1,"False","false",1772229726812,1772229726815,1772229727755,"Question: is season 14 the last season for grey's anatomy
                                        Context: On April 20, 2018, ABC officially renewed Grey's Anatomy for a network primetime drama record-setting fifteenth season.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",46,424,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,27835.006938772673,27835.0068359375,1772229754647.0068,0,-24631.82033231216,-24631.8203125,1772229702180.1797,0
4,device,121.30,640.00,519.00,121.00,1,"False","false",1772229727223,1772229727742,1772229727863,"Question: is what a wonderful world in the public domain
                                        Context: ``What a Wonderful World'' is a pop ballad written by Bob Thiele (as ``George Douglas'') and George David Weiss. It was first recorded by Louis Armstrong and released in 1967 as a single, which topped the pop charts in the United Kingdom. Thiele and Weiss were both prominent in the music world (Thiele as a producer and Weiss as a composer/performer). Armstrong's recording was inducted in the Grammy Hall of Fame in 1999. The publishing for this song is controlled by Memory Lane Music Group, Carlin Music Corp. and BMG Rights Management.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",121,844,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,5872.5121562806635,33870.931396484375,1772229761093.9314,2,40296.57993059141,40296.579833984375,1772229767519.5798,4
3,cloud,142.90,1087.00,944.00,143.00,0,"False","true",1772229726822,1772229727766,1772229727909,"Question: is g major and e minor the same
                                        Context: For example, G major and E minor both have a single sharp in their key signature at F♯; therefore, E minor is the relative minor of G major, and conversely G major is the relative major of E minor. The tonic of the relative minor is the sixth scale degree of the major scale, while the tonic of the relative major is the third degree of the minor scale. The relative relationship may be visualized through the circle of fifths.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",108,716,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,5917.663605130262,5917.66357421875,1772229732740.6636,1,-13293.425973534464,-13293.426025390625,1772229713529.574,0
4,cloud,139.90,1131.00,991.00,140.00,0,"False","true",1772229726928,1772229727919,1772229728059,"Question: is what a wonderful world in the public domain
                                        Context: ``What a Wonderful World'' is a pop ballad written by Bob Thiele (as ``George Douglas'') and George David Weiss. It was first recorded by Louis Armstrong and released in 1967 as a single, which topped the pop charts in the United Kingdom. Thiele and Weiss were both prominent in the music world (Thiele as a producer and Weiss as a composer/performer). Armstrong's recording was inducted in the Grammy Hall of Fame in 1999. The publishing for this song is controlled by Memory Lane Music Group, Carlin Music Corp. and BMG Rights Management.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",121,844,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,47790.212919451136,47790.212890625,1772229774718.213,0,-5503.006518102472,-5503.006591796875,1772229721424.9934,1
9,device,188.90,482.00,293.00,189.00,0,"False","true",1772229727581,1772229727874,1772229728063,"Question: is there a belt above black in karate
                                        Context: In Japanese martial arts the further subdivisions of black belt ranks may be linked to dan grades and indicated by 'stripes' on the belt. Yūdansha (roughly translating from Japanese to ``person who holds a dan grade'') is often used to describe those who hold a black belt rank. While the belt remains black, stripes or other insignia may be added to denote seniority, in some arts, very senior grades will wear differently colored belts. In judo and some forms of karate, a sixth dan will wear a red and white belt. The red and white belt is often reserved only for ceremonial occasions, and a regular black belt is still worn during training. At 9th or 10th dan some schools award red. In some schools of Jujutsu, the Shihan rank and higher wear purple belts. These other colors are often still referred to collectively as ``black belts''.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",175,1136,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,288.3672802254388,33801.298583984375,1772229761382.2986,1,47231.2580298026,48987.19384765625,1772229776568.1938,8
14,device,144.00,313.00,169.00,144.00,0,"False","true",1772229727904,1772229728073,1772229728217,"Question: can you get a tattoo at any age
                                        Context: In the United States, there is no federal law regulating the practice of tattooing. However, all 50 states and the District of Columbia have statutory laws requiring a person receiving a tattoo be 18 years or older. This is partially based on the legal principle that a minor cannot enter into a legal contract or otherwise render informed consent for a procedure. Most states permit a person under the age of 18 to receive a tattoo with permission of a parent or guardian, but some states outright prohibit tattooing under a certain age regardless of permission, with the exception of medical necessity (such as markings placed for radiation therapy).
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",137,941,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,178.9071036641855,178.906982421875,1772229728082.907,0,1552.1456184968656,10138.581298828125,1772229738042.5813,11
1,cloud,155.40,1201.00,1046.00,155.00,1,"False","false",1772229727024,1772229728070,1772229728225,"Question: is season 14 the last season for grey's anatomy
                                        Context: On April 20, 2018, ABC officially renewed Grey's Anatomy for a network primetime drama record-setting fifteenth season.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",46,424,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,10219.133908421842,10219.1337890625,1772229737243.1338,1,-16741.02281983775,-16741.022705078125,1772229710282.9773,2
15,device,115.60,287.00,172.00,115.00,1,"False","false",1772229728057,1772229728229,1772229728344,"Question: does the super bowl loser get a ring
                                        Context: The Super Bowl ring is an award in the National Football League given to the winners of the league's annual championship game, the Super Bowl. Since only one Vince Lombardi Trophy is awarded to the team (ownership) itself, the Super Bowl ring offers a collectable memento for the actual players and team members to keep for themselves to symbolise their victory.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",89,656,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,97.98927427225453,123.896240234375,1772229728180.8962,1,427.25254809081645,8860.688232421875,1772229736917.6882,10
3,cloud,137.00,1239.00,1102.00,137.00,0,"False","true",1772229727134,1772229728236,1772229728373,"Question: is g major and e minor the same
                                        Context: For example, G major and E minor both have a single sharp in their key signature at F♯; therefore, E minor is the relative minor of G major, and conversely G major is the relative major of E minor. The tonic of the relative minor is the sixth scale degree of the major scale, while the tonic of the relative major is the third degree of the minor scale. The relative relationship may be visualized through the circle of fifths.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",108,716,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,30532.465992766585,58619.88525390625,1772229785753.8853,2,-8748.16489516481,-8748.164794921875,1772229718385.8352,3
16,device,122.80,403.00,280.00,123.00,1,"False","false",1772229728081,1772229728361,1772229728484,"Question: does the national anthem of spain have words
                                        Context: The ``Marcha Real'' (Spanish pronunciation: (ˈmaɾtʃa reˈal), ``Royal March'') is the national anthem of Spain. It is one of only four national anthems in the world (along with those of Bosnia and Herzegovina, Kosovo, and San Marino) that has no official lyrics. Although it had lyrics in the past, they are no longer used.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",82,624,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,163.9682902460778,263.864501953125,1772229728344.8645,1,285.204771591763,8694.640625,1772229736775.6406,9
5,cloud,131.40,1155.00,1024.00,131.00,1,"True","true",1772229727360,1772229728384,1772229728515,"Question: does rachel and ross get together in the end
                                        Context: The series finale closes several long-running storylines. Ross Geller (David Schwimmer) confesses his love for Rachel Green (Jennifer Aniston), and they decide to resume their relationship; and Monica Geller (Courteney Cox) and Chandler Bing (Matthew Perry) adopt twins and move to the suburbs. The episode's final scene shows the group leaving their apartments for the final time and going to Central Perk for one last cup of coffee.
                                        Instructions: Answer with ONLY the word ""true"" or ""false"". Do not provide any explanation or additional text.
                                        Answer:",97,736,1772229726810,1772229770362,boolq_validation,jseq,exponential-arrival,onnx-community/Llama-3.2-1B-Instruct-ONNX,meta-llama/llama-3.2-1b-instruct,-18526.321790447044,15207.609619140625,1772229742567.6096,3,-42249.53610121776,-42249.5361328125,1772229685110.4639,4
